"","Signal_ID","Signal_PMU_ID","Signal_Index","Signal_Name_Raw","Signal_Name_Short","Signal_Name_Group","Signal_Name_Long","Signal_Type","Signal_Asset","Signal_Voltage","Signal_Circuit","Signal_Unit","Signal_Phase"
115,"<34028-A-04>",0x84ec,"4","A500OSTRODA__1MV","OSTRODA","500OSTRODA__1","Ostroda","Analog","Analog",500,"1","Power-Reactive",""
116,"<34028-A-05>",0x84ec,"5","A500CELLE____2MW","CELLE","500CELLE____2","Celle","Analog","Analog",500,"2","Power-Real",""
117,"<34028-A-06>",0x84ec,"6","A500CELLE____2MV","CELLE","500CELLE____2","Celle","Analog","Analog",500,"2","Power-Reactive",""
118,"<34028-F-01>",0x84ec,"1","A500FREQ_____1F_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","Frequency",""
119,"<34028-F-02>",0x84ec,"2","A500FREQ_____1R_","FREQ","500FREQ_____1","Frequency","Frequency","Analog",500,"1","ROCOF",""
120,"<34030-P-01>",0x84ee,"1","B500WEST_____1VP","WEST","500WEST_____1","W","Phasor","Bus",500,"1","Voltage","Pos. Seq"
121,"<34030-P-02>",0x84ee,"2","B500WEST_____1VA","WEST","500WEST_____1","W","Phasor","Bus",500,"1","Voltage","Phase A"
122,"<34030-P-03>",0x84ee,"3","B500WEST_____1VB","WEST","500WEST_____1","W","Phasor","Bus",500,"1","Voltage","Phase B"
123,"<34030-P-04>",0x84ee,"4","B500WEST_____1VC","WEST","500WEST_____1","W","Phasor","Bus",500,"1","Voltage","Phase C"
124,"<34030-P-05>",0x84ee,"5","B500EAST_____1VP","EAST","500EAST_____1","E","Phasor","Bus",500,"1","Voltage","Pos. Seq"
125,"<34030-P-06>",0x84ee,"6","B500EAST_____1VA","EAST","500EAST_____1","E","Phasor","Bus",500,"1","Voltage","Phase A"
126,"<34030-P-07>",0x84ee,"7","B500EAST_____1VB","EAST","500EAST_____1","E","Phasor","Bus",500,"1","Voltage","Phase B"
127,"<34030-P-08>",0x84ee,"8","B500EAST_____1VC","EAST","500EAST_____1","E","Phasor","Bus",500,"1","Voltage","Phase C"
128,"<34030-P-09>",0x84ee,"9","L500KNIN_____1IP","KNIN","500KNIN_____1","Knin","Phasor","Line",500,"1","Current","Pos. Seq"
129,"<34030-P-10>",0x84ee,"10","T500BANK5____1IP","BANK5","500BANK5____1","Transformer Bank #5","Phasor","Transformer",500,"1","Current","Pos. Seq"
130,"<34030-P-11>",0x84ee,"11","L500JODOIGNE_1IP","JODOIGNE","500JODOIGNE_1","Jodoigne","Phasor","Line",500,"1","Current","Pos. Seq"
131,"<34030-P-12>",0x84ee,"12","T500BANK2____1IP","BANK2","500BANK2____1","Transformer Bank #2","Phasor","Transformer",500,"1","Current","Pos. Seq"
132,"<34030-P-13>",0x84ee,"13","L500JODOIGNE_2IP","JODOIGNE","500JODOIGNE_2","Jodoigne","Phasor","Line",500,"2","Current","Pos. Seq"
133,"<34030-A-01>",0x84ee,"1","A500KNIN_____1MW","KNIN","500KNIN_____1","Knin","Analog","Analog",500,"1","Power-Real",""
134,"<34030-A-02>",0x84ee,"2","A500KNIN_____1MV","KNIN","500KNIN_____1","Knin","Analog","Analog",500,"1","Power-Reactive",""
135,"<34030-A-03>",0x84ee,"3","A500BANK5____1MW","BANK5","500BANK5____1","Transformer Bank #5","Analog","Analog",500,"1","Power-Real",""
136,"<34030-A-04>",0x84ee,"4","A500BANK5____1MV","BANK5","500BANK5____1","Transformer Bank #5","Analog","Analog",500,"1","Power-Reactive",""
137,"<34030-A-05>",0x84ee,"5","A500JODOIGNE_1MW","JODOIGNE","500JODOIGNE_1","Jodoigne","Analog","Analog",500,"1","Power-Real",""
138,"<34030-A-06>",0x84ee,"6","A500JODOIGNE_1MV","JODOIGNE","500JODOIGNE_1","Jodoigne","Analog","Analog",500,"1","Power-Reactive",""
139,"<34030-A-07>",0x84ee,"7","A500BANK2____1MW","BANK2","500BANK2____1","Transformer Bank #2","Analog","Analog",500,"1","Power-Real",""
140,"<34030-A-08>",0x84ee,"8","A500BANK2____1MV","BANK2","500BANK2____1","Transformer Bank #2","Analog","Analog",500,"1","Power-Reactive",""
